STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,13,20121,2000,55_13_20121,0
55,13,20127,2000,55_13_20127,0
55,13,20179,2000,55_13_20179,0
55,135,20303,2000,55_135_20303,0
55,135,20304,2000,55_135_20304,0
55,135,20305,2000,55_135_20305,0
55,135,20306,2000,55_135_20306,0
55,135,20307,2000,55_135_20307,0
55,135,20308,2000,55_135_20308,0
55,135,20309,2000,55_135_20309,0
55,135,20310,2000,55_135_20310,0
55,135,20311,2000,55_135_20311,0
55,135,20312,2000,55_135_20312,0
55,135,20313,2000,55_135_20313,0
55,135,20314,2000,55_135_20314,0
55,135,20315,2000,55_135_20315,0
55,137,20230,2000,55_137_20230,0
55,137,20100,2000,55_137_20100,0
55,137,20189,2000,55_137_20189,0
55,137,20163,2000,55_137_20163,0
55,137,20178,2000,55_137_20178,0
55,137,20223,2000,55_137_20223,0
55,137,20053,2000,55_137_20053,0
55,137,20162,2000,55_137_20162,0
55,137,20082,2000,55_137_20082,0
55,137,20137,2000,55_137_20137,0
55,137,20249,2000,55_137_20249,0
55,137,20124,2000,55_137_20124,0
55,137,20040,2000,55_137_20040,0
55,137,20244,2000,55_137_20244,0
55,137,20109,2000,55_137_20109,0
55,137,20051,2000,55_137_20051,0
55,137,20208,2000,55_137_20208,0
55,137,20085,2000,55_137_20085,0
55,137,20255,2000,55_137_20255,0
55,137,20257,2000,55_137_20257,0
55,137,20260,2000,55_137_20260,0
55,137,20261,2000,55_137_20261,0
55,137,20262,2000,55_137_20262,0
55,137,20263,2000,55_137_20263,0
55,137,20264,2000,55_137_20264,0
55,137,20265,2000,55_137_20265,0
55,137,20266,2000,55_137_20266,0
55,137,20267,2000,55_137_20267,0
55,139,20151,2000,55_139_20151,0
55,139,20145,2000,55_139_20145,0
55,139,20048,2000,55_139_20048,0
55,139,20077,2000,55_139_20077,0
55,139,20142,2000,55_139_20142,0
55,139,20056,2000,55_139_20056,0
55,139,20014,2000,55_139_20014,0
55,139,20126,2000,55_139_20126,0
55,139,20049,2000,55_139_20049,0
55,139,20131,2000,55_139_20131,0
55,139,20161,2000,55_139_20161,0
55,139,20070,2000,55_139_20070,0
55,139,20206,2000,55_139_20206,0
55,139,20211,2000,55_139_20211,0
55,139,20212,2000,55_139_20212,0
55,139,20213,2000,55_139_20213,0
55,139,20214,2000,55_139_20214,0
55,139,20215,2000,55_139_20215,0
55,139,20216,2000,55_139_20216,0
55,139,20217,2000,55_139_20217,0
55,139,20218,2000,55_139_20218,0
55,141,20044,2000,55_141_20044,0
55,141,20019,2000,55_141_20019,0
55,141,20052,2000,55_141_20052,0
55,141,20067,2000,55_141_20067,0
55,141,20155,2000,55_141_20155,0
55,141,20252,2000,55_141_20252,0
55,141,20068,2000,55_141_20068,0
55,141,20175,2000,55_141_20175,0
55,141,20264,2000,55_141_20264,0
55,141,20053,2000,55_141_20053,0
55,141,20240,2000,55_141_20240,0
55,141,20222,2000,55_141_20222,0
55,141,20130,2000,55_141_20130,0
55,141,20326,2000,55_141_20326,0
55,141,20328,2000,55_141_20328,0
55,141,20329,2000,55_141_20329,0
55,141,20330,2000,55_141_20330,0
55,141,20331,2000,55_141_20331,0
55,141,20332,2000,55_141_20332,0
55,141,20333,2000,55_141_20333,0
55,141,20334,2000,55_141_20334,0
55,141,20335,2000,55_141_20335,0
55,141,20337,2000,55_141_20337,0
55,141,20338,2000,55_141_20338,0
55,99,20462,2000,55_99_20462,0
55,99,20463,2000,55_99_20463,0
55,99,20464,2000,55_99_20464,0
55,99,20465,2000,55_99_20465,0
55,99,20466,2000,55_99_20466,0
55,99,20467,2000,55_99_20467,0
55,99,20468,2000,55_99_20468,0
55,99,20469,2000,55_99_20469,0
55,99,20470,2000,55_99_20470,0
55,99,20471,2000,55_99_20471,0
55,99,20472,2000,55_99_20472,0
55,99,20473,2000,55_99_20473,0
55,99,20474,2000,55_99_20474,0
55,99,20476,2000,55_99_20476,0
55,99,20477,2000,55_99_20477,0
55,99,20478,2000,55_99_20478,0
55,99,20479,2000,55_99_20479,0
55,99,20481,2000,55_99_20481,0
55,99,20482,2000,55_99_20482,0
55,99,20483,2000,55_99_20483,0
55,99,20484,2000,55_99_20484,0
55,101,20092,2000,55_101_20092,0
55,101,20087,2000,55_101_20087,0
55,141,20219,2000,55_141_20219,0
55,101,20119,2000,55_101_20119,0
55,101,20033,2000,55_101_20033,0
55,101,20110,2000,55_101_20110,0
55,101,20005,2000,55_101_20005,0
55,101,20108,2000,55_101_20108,0
55,23,20180,2000,55_23_20180,0
55,23,20057,2000,55_23_20057,0
55,23,20209,2000,55_23_20209,0
55,23,20022,2000,55_23_20022,0
55,23,20072,2000,55_23_20072,0
55,23,20172,2000,55_23_20172,0
55,23,20037,2000,55_23_20037,0
55,23,20005,2000,55_23_20005,0
55,23,20082,2000,55_23_20082,0
55,23,20118,2000,55_23_20118,0
55,23,20152,2000,55_23_20152,0
55,23,20175,2000,55_23_20175,0
55,23,20043,2000,55_23_20043,0
55,23,20086,2000,55_23_20086,0
55,23,20058,2000,55_23_20058,0
