"","STATECD","COUNTYCD","PLOT","INVYR","CONDITION","KEY","TIME_PER","subplot_list"
"445",55,11,20239,2000,"F","55_11_20239",0,"1324"
"446",55,11,20249,2004,"F","55_11_20249",0,"3241"
"447",55,11,20250,2002,"F","55_11_20250",0,"3124"
"448",55,11,20257,2003,"F","55_11_20257",0,"2314"
"449",55,11,20267,2004,"M","55_11_20267",0,"3214"
"450",55,11,20268,2001,"F","55_11_20268",0,"3241"
"451",55,11,20271,2000,"F","55_11_20271",0,"4312"
"452",55,11,20273,2000,"F","55_11_20273",0,"4321"
"453",55,11,20275,2000,"M","55_11_20275",0,"3124"
"454",55,11,20280,2000,"M","55_11_20280",0,"2143"
"455",55,11,20281,2000,"F","55_11_20281",0,"1234"
"456",55,11,20282,2000,"F","55_11_20282",0,"2143"
"457",55,11,20283,2000,"F","55_11_20283",0,"4321"
"458",55,11,20284,2001,"M","55_11_20284",0,"3142"
